Unnamed: 0;Datetime;Price;Decision
;2023-11-06 01:36:00+00:00;35044.18;Vender
;2023-11-06 01:37:00+00:00;35044.18;Vender
;2023-11-06 01:38:00+00:00;35044.18;Vender
;2023-11-06 01:39:00+00:00;35005.6;Vender
;2023-11-06 01:40:00+00:00;35005.6;Vender
;2023-11-06 01:41:00+00:00;34998.24;Vender
;2023-11-06 01:42:00+00:00;34998.24;Vender
;2023-11-06 01:43:00+00:00;34980.51;Vender
;2023-11-06 01:44:00+00:00;34963.02;Vender
;2023-11-06 01:45:00+00:00;34963.02;Vender
;2023-11-06 01:46:00+00:00;34963.02;Vender
;2023-11-06 01:47:00+00:00;34969.51;Vender
;2023-11-06 01:48:00+00:00;34969.51;Vender
;2023-11-06 01:49:00+00:00;34974.57;Vender
;2023-11-06 01:50:00+00:00;34974.57;Vender
;2023-11-06 01:51:00+00:00;34931.66;Vender
;2023-11-06 01:57:00+00:00;34930.33;Vender
;2023-11-06 01:58:00+00:00;34930.33;Vender
;2023-11-06 01:59:00+00:00;34930.33;Vender
;2023-11-06 02:00:00+00:00;34930.33;Vender
;2023-11-06 02:01:00+00:00;34919.63;Vender
;2023-11-06 02:02:00+00:00;34919.63;Vender
;2023-11-06 02:03:00+00:00;34937.77;Vender
;2023-11-06 02:04:00+00:00;34937.77;Vender
;2023-11-06 02:05:00+00:00;34937.77;Vender
;2023-11-06 02:06:00+00:00;34937.77;Vender
;2023-11-06 02:07:00+00:00;34938.08;Vender
;2023-11-06 02:08:00+00:00;34938.08;Vender
;2023-11-06 02:09:00+00:00;34961.16;Vender
;2023-11-06 02:10:00+00:00;34961.16;Vender
;2023-11-06 02:11:00+00:00;34972.64;Vender
;2023-11-06 02:13:00+00:00;34972.64;Vender
;2023-11-06 02:16:00+00:00;34961.66;Vender
;2023-11-06 02:17:00+00:00;34961.66;Vender
;2023-11-06 02:18:00+00:00;34956.75;Vender
;2023-11-06 02:20:00+00:00;34939.49;Vender
;2023-11-06 02:21:00+00:00;34939.49;Vender
;2023-11-06 02:22:00+00:00;34939.49;Vender
;2023-11-06 02:23:00+00:00;34926.5;Vender
;2023-11-06 02:24:00+00:00;34926.5;Vender
;2023-11-06 02:25:00+00:00;34936.46;Vender
;2023-11-06 02:26:00+00:00;34936.46;Vender
;2023-11-06 02:27:00+00:00;34929.86;Vender
;2023-11-06 02:28:00+00:00;34929.86;Vender
;2023-11-06 02:29:00+00:00;34890.24;Vender
;2023-11-06 02:30:00+00:00;34890.24;Vender
;2023-11-06 02:31:00+00:00;34888.59;Vender
;2023-11-06 02:32:00+00:00;34888.59;Vender
;2023-11-06 02:36:00+00:00;34879.95;Vender
;2023-11-06 02:37:00+00:00;34899.1;Vender
;2023-11-06 02:38:00+00:00;34899.1;Vender
;2023-11-06 02:39:00+00:00;34899.1;Vender
;2023-11-06 02:40:00+00:00;34906.62;Vender
;2023-11-06 02:41:00+00:00;34906.62;Vender
;2023-11-06 02:42:00+00:00;34922.62;Vender
;2023-11-06 02:43:00+00:00;34922.62;Vender
;2023-11-06 02:44:00+00:00;34912.06;Vender
;2023-11-06 02:45:00+00:00;34912.06;Vender
;2023-11-06 02:46:00+00:00;34910.44;Vender
;2023-11-06 02:47:00+00:00;34896.87;Vender
;2023-11-06 02:49:00+00:00;34896.87;Vender
;2023-11-06 02:50:00+00:00;34896.87;Vender
;2023-11-06 02:51:00+00:00;34895.25;Vender
;2023-11-06 02:52:00+00:00;34895.25;Vender
;2023-11-06 03:04:00+00:00;34927.2;Vender
;2023-11-06 03:05:00+00:00;34927.2;Vender
;2023-11-06 03:06:00+00:00;34922.12;Vender
;2023-11-06 03:07:00+00:00;34922.12;Vender
;2023-11-06 03:08:00+00:00;34908.45;Vender
;2023-11-06 03:09:00+00:00;34908.45;Vender
;2023-11-06 03:10:00+00:00;34898.11;Vender
;2023-11-06 23:00:00+0000;35052.68;Comprar
;2023-11-06 23:00:00+0000;35052.68;Vender
;2023-11-06 23:00:00+0000;35052.68;Comprar
